TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_TOTAL_TOTAL,FLOAT,Total Sum of Participant's Avg Actual Total.  
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_1000_GP3_AF,FLOAT,Allele Frequency as determined by the 1000 Genomes project.
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_AAALT,,Chromosome Number of Gene. From dbNSFP
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_AAPOS,,"Amino Acid Alternative, as a result of the mutation. From dbNSFP"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_AAREF,,Amino Acid position. From dbNSFP
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_ALSOD_CATEGORY,,"Amino Acid Reference, the original amino acid. From dbNSFP"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_CHR,,ALS Online Database categorization (strength of evidence linking gene to ALS)
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_CLINVAR_CLNSIG,,"Clinical Significance, if any, of the given mutation, as sourced from ClinVar."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_CLINVAR_ID,FLOAT,ClinVar ID for the mutation
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_CLINVAR_TRAIT,,"Possible condition associted with mutation, as sourced from ClinVar."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_DNA_ALT,,DNA Alternative base as a result of mutation. From dbNSFP. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_DNA_REF,,DNA Reference base. From dbNSFP. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_ENSEMBL_GENEID,,Ensembl Gene ID
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_ENSEMBL_PROTEINID,,Ensembl Protein ID
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_ENSEMBL_TRANSCRIPTID,,Ensebml Transcript ID
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_FILTER,,"Indicates which filters have failed (semicolon-separated), PASS or MISSING. Variant Call Format (VCF) documentation: https://samtools.github.io/hts-specs/VCFv4.2.pdf"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_GENE_NAME_ISOLATED,,"Gene name, isolated. "
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_GENOTYPE_1,FLOAT,"Presence of mutation in Allele 1, along with variant possibilty. (E.g., 0/1 means no mutation in allele 1 and first variant possibilty in allele 2.) From participant VCF."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_GENOTYPE_2,FLOAT,"Presence of mutation in Allele 2, along with variant possibilty. (E.g., 0/1 means no mutation in allele 1 and first variant possibilty in allele 2.) From participant VCF."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_HGVSC_SNP_EFF,,HGVS coding variant presentation from snpEff
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_HGVSC_VEP,,HGVS coding variant presentation from Vep
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_HGVSP_SNP_EFF,,HGVS protein variant presentation from snpEff
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_HGVSP_VEP,,HGVS protein variant presentation from VEP
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_PARTICIPANT_ID,,Every participant's Subject ID within the ARC Program. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_PARTICIPANT_REFERENCE_BASE,,DNA Reference base from participant sequencing data. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HDIV_PRED,,"Polyphen2 prediction based on HumDiv, ""D"" (""probably damaging"",HDIV score in [0.957,1] or rankscore in [0.55859,0.91137]), ""P"" (""possibly damaging"", HDIV score in [0.454,0.956] or rankscore in [0.37043,0.55681]) and ""B"" (""benign"", 
HDIV score in [0,0.452] or rankscore in [0.03061,0.36974]). Score cutoff for binary 
classification is 0.5 for HDIV score or 0.38028 for rankscore, i.e. the prediction is 
neutral if the HDIV score is smaller than 0.5 (rankscore is smaller than 0.38028), 
and ""deleterious"" if the HDIV score is larger than 0.5 (rankscore is larger than 
0.38028). Multiple entries are separated by "";"", corresponding to Uniprot_acc."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HDIV_RANKSCORE,,Polyphen2 HDIV scores were first ranked among all HDIV scores
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HDIV_SCORE,,"Polyphen2 score based on HumDiv, i.e. hdiv_prob."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HVAR_PRED,,"Polyphen2 prediction based on HumVar, ""D"" (""probably damaging"",	
	HVAR score in [0.909,1] or rankscore in [0.65694,0.97581]), ""P"" (""possibly damaging"", 
	HVAR in [0.447,0.908] or rankscore in [0.47121,0.65622]) and ""B"" (""benign"", HVAR 
	score in [0,0.446] or rankscore in [0.01493,0.47076]). Score cutoff for binary 
	classification is 0.5 for HVAR score or 0.48762 for rankscore, i.e. the prediction 
	is ""neutral"" if the HVAR score is smaller than 0.5 (rankscore is smaller than 
	0.48762), and ""deleterious"" if the HVAR score is larger than 0.5 (rankscore is larger 
	than 0.48762). Multiple entries are separated by "";"", corresponding to Uniprot_acc."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HVAR_RANKSCORE,,Polyphen2 HVAR scores were first ranked among all HVAR scores
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POLYPHEN2_HVAR_SCORE,,"Polyphen2 score based on HumVar, i.e. hvar_prob."
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_POS_1_BASED,,Physical position on the chromosome as to hg38 (1-based coordinate).
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_PT_ALLELE_1_ALT,,DNA Alternative base for Allele 1 found in participant sequencing.
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_PT_ALLELE_2_ALT,,DNA Alternative base for Allele 2 found in participant sequencing. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_QUALITY,,"phred-scaled quality score for the assertion made in ALT. In other words, it's: 10log_10 prob(call in ALT is wrong). Quality score that is on a log scale. 100 means 1 in 10^10 chance of error. Variant Call Format (VCF) documentation: https://samtools.github.io/hts-specs/VCFv4.2.pdf"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_RSID_FROM_DBSNP,,rsID from dbNSFP/dbSNP. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_RSID_FROM_PT_DATA,,rsID from participant genomic data. 
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_SAMPLE_ID,,Sample ID used by the Broad Institute
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_SIFT_CONVERTED_RANKSCORE,,"SIFTori scores were first converted to SIFTnew=1-SIFTori, then ranked among all SIFTnew scores in dbNSFP. The rankscore is the ratio of the rank the SIFTnew score over the total number of SIFTnew scores in dbNSFP. 	If there are multiple scores, only the most damaging (largest) rankscore is presented. The rankscores range from 0.00964 to 0.91255.	"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_SIFT_PRED,,"If SIFTori is smaller than 0.05 (rankscore>0.39575) the corresponding nsSNV is predicted as ""D(amaging)""; otherwise it is predicted as ""T(olerated)"". Multiple predictions separated by "";"""
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_SIFT_SCORE,,"SIFT4G_score: SIFT 4G score (SIFT4G). Scores range from 0 to 1. The smaller the score the more likely the SNP has damaging effect. Multiple scores separated by "","", corresponding to Ensembl_transcriptid"
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_UNIPROT_ACC,,UniProt accession number
ALS_ASSOCIATED_GENE_DATA,ALS_ASSOCIATED_GENE_DATA_VEP_CANONICAL,,Canonical transcript used in Ensembl.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_DATE,,Date timestamp for when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_DAY_OF_WEEK,,Day of week when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_MONTH,,Month when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_QUARTER,,Quarter when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_RAW,,Full date + timestamp for when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_TIME,,Timestamp for when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_WEEK,,Beginning (Monday) date of the week for when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_ALSFRS_ENTRY_YEAR,,Year when the als frs scores were recorded.
ALS_FRS_DATA,ALSFRS_DATA_DAYS_SINCE_ONSET,,Days since onset of participant's symptoms
ALS_FRS_DATA,ALSFRS_DATA_DAYS_SINCE_SIGN_UP,,Days since sign up for ARC 
ALS_FRS_DATA,ALSFRS_DATA_FRS_CLIMBING_STAIRS,,Single Als Frs score for a participant climbing stairs.
ALS_FRS_DATA,ALSFRS_DATA_FRS_CUTTING_FOOD,,Single Als Frs score for a participant cutting food
ALS_FRS_DATA,ALSFRS_DATA_FRS_DRESSING_HYGIENE,,Single Als Frs score for a participant's ability to dress and keep up with hygiene
ALS_FRS_DATA,ALSFRS_DATA_FRS_DYSPNEA,,Single Als Frs score for a participant's difficulty breathing standing or sitting
ALS_FRS_DATA,ALSFRS_DATA_FRS_HANDWRITING,,Single Als Frs score for a participant's ability to write
ALS_FRS_DATA,ALSFRS_DATA_FRS_ORTHOPNEA,,Single Als Frs score for a participant's difficulty breathing laying down
ALS_FRS_DATA,ALSFRS_DATA_FRS_RESPIRATORY_INSUFFICIENCY,,Single Als Frs score for a participant's overall difficulty breathing
ALS_FRS_DATA,ALSFRS_DATA_FRS_SALIVATION,,Single Als Frs score for a participant's difficulty salivating
ALS_FRS_DATA,ALSFRS_DATA_FRS_SPEECH,,Single Als Frs score for a participant's ability to talk
ALS_FRS_DATA,ALSFRS_DATA_FRS_SWALLOWING,,Single Als Frs score for a participant's ability to swalllow
ALS_FRS_DATA,ALSFRS_DATA_FRS_TURNING_IN_BED,,Single Als Frs score for a participant's ability to turn in bed
ALS_FRS_DATA,ALSFRS_DATA_FRS_WALKING,,Single Als Frs score for a participant's ability to walk
ALS_FRS_DATA,ALSFRS_DATA_PARTICIPANT_FORM_ID,,ID for the Form with ALSFRS-R Scores submitted
ALS_FRS_DATA,ALSFRS_DATA_PARTICIPANT_ID,,Every participant's Subject ID within the ARC Program. 
ALS_FRS_DATA,ALSFRS_DATA_TOTAL_SCORE,,Total als frs score for a given ALSFRS-R entry
ALS_FRS_DATA,ALSFRS_DATA_YEAR_SINCE_SIGNUP,,"At time of ALSFRS-R completion, years passed since sign up"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_ALS_FRS_SLOPE_PER_MONTH,,"The calculated slope of a partial participant's frs scores, excludes speech, swallowing, salivation, per day. "
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_CLIMBING_STAIRS,,The calculated slope of a total participant's frs scores per month
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_CUTTING_FOOD,,Calculated slope for Als Frs scores for a participant climbing stairs per day
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_DRESSING_HYGIENE,,Calculated slope for Als Frs scores for a participant cutting food per day
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_DYSPNEA,,Calculated slope for Als Frs scores for a participant's ability to dress and keep up with hygiene per day
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_HANDWRITING,,Calculated alope for Als Frs scores for a participant's difficulty breathing standing or sitting per day
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_ORTHOPNEA,,"Calculated slope for Als Frs scores for a participant's ability to write, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_PARTIAL_TOTAL_NO_SSS,,"Calculated slope for Als Frs scores for a participant's difficulty breathing laying down, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_PARTICIPANT_ID,,Every participant's Subject ID within the ARC Program. 
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_PROGRESSION_RATE_LABEL,,The progression rate category of a participant. Calculated by dividing ARC cohort into thirds by their ALSFRS-R slopes. Only determined for participants with 3+ ALSFRS-R entries. 
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_RESPIRATORY_INSUFFICIENCY,,Calculated slope for Als Frs scores for a participant's respiratory insufficiency per day
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_SALIVATION,,"Calculated slope for Als Frs scores for a participant's difficulty salivation, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_SPEECH,,"Calculated slope for Als Frs scores for a participant's ability to talk, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_SWALLOWING,,"Calculated slope for Als Frs scores for a participant's ability to swallow, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_TOTAL_SCORE,,"The calculated slope of a total participant's frs scores, per day."
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_TURNING_IN_BED,,"Calculated slope for Als Frs scores for a participant's ability to turn in bed, per day"
ALS_FRS_SLOPE_DATA,ALSFRS_SLOPE_DATA_WALKING,,"Calculated slope for Als Frs scores for a participant's ability to walk, per day"
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_ALBUMIN_G_DL,,Albumin/Globulin Ratio from Complete Metabolic Panel. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_ALKALINE_PHOSPHATASE_U_L,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_DATE,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_MONTH,,Appointment Date. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_QUARTER,,Appointment Date Month. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_RAW,,Appointment Date Quarter. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_TIME,,Appointment Full Date + Time. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_WEEK,,Appointment Date Time. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_APPOINTMENT_YEAR,,Appointment Date Week. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_A_G_RATIO,,Appointment Date Year. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_BASOPHILS,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_BASOPHILS_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
